Program,Course Code,Course Title,Section,Teacher,Exam Date,Exam Time,Room
BBA,ECN 2214,Macroeconomics,C,TaA,"March 18, 2024",9:00 AM - 10:45 AM,207 (111183044-111222050)                                                                                                                                                                                                                       208 (111222081-1142230020)
BBA,ECN 2214/ECO 1302,Introduction to Macroeconomics/Macroeconomics,A,TJT,"March 18, 2024",9:00 AM - 10:45 AM,209 (111211051-1212330024)
BBA,ECN 2214/ECO 1302,Introduction to Macroeconomics/Macroeconomics,D,SCT,"March 18, 2024",9:00 AM - 10:45 AM,210 (111201038-111222051)                                                                                                                                                                                                                       211 (111222136-1212310018)
BBA,FIN 4332,Financial Technology (FinTech),A,NFa,"March 18, 2024",9:00 AM - 10:45 AM,201 (111191071-111213098)
BBA,IBS 3121,International Business,A,PMM,"March 18, 2024",9:00 AM - 10:45 AM,223 (111171117-111213014)                                                                                                                                                                                                                       224 (111213039-121213004)
BBA,IBS 3121,International Business,B,PMM,"March 18, 2024",9:00 AM - 10:45 AM,225 (111183014-111213076)                                                                                                                                                                                                                       228 (111213105-1212310017)
BBA,ECN 2111,Microeconomics,B,MOF,"March 18, 2024",11:15 AM - 1:00 PM,202 (111193050-1112310013)                                                                                                                                                                                                                       203 (1112310016-1142310001)
BBA,ECN 2111,Microeconomics,C,TaA,"March 18, 2024",11:15 AM - 1:00 PM,204 (111211082-1112230129)                                                                                                                                                                                                                       205 (1112230137-1142230008)
BBA,ECN 2111/ECO 1301,Introduction to Microeconomics/Microeconomics,A,TJT,"March 18, 2024",11:15 AM - 1:00 PM,206 (111211078-1112310123)                                                                                                                                                                                                                       207 (1112310162-1212410004)
BBA,ECN 2111/ECO 1301,Introduction to Microeconomics/Microeconomics,D,TrAd,"March 18, 2024",11:15 AM - 1:00 PM,208 (111183076-1112310048)                                                                                                                                                                                                                       209 (1112310072-1212330039)
BBA,SCM 4203,Inventory Management,A,SdHn,"March 18, 2024",11:15 AM - 1:00 PM,201 (111162121-111201153)                                                                                                                                                                                                                       202 (111201179-111212082)
BBA,MKT 4306,Marketing Research,A,MHAMn,"March 18, 2024",1:45 PM - 3:30 PM,201 (111172068-111201004)                                                                                                                                                                                                                       202 (111201006-111211097)
BBA in AIS,AIS 3209,Tax Accounting and Tax Planning,A,MHM,"March 09, 2024",11:15 AM - 1:00 PM,210 (114191009-114221028)
BBA in AIS,MGT 2208,Human Resource Management & Organizational Behavior,A,IS,"March 10, 2024",9:00 AM - 10:45 AM,202 (114211008-1142310007)
BSECO,ECO 3301/ECO 3303,Intermediate Microeconomic Theory II/Intermediate Microeconomics II,A,MSS,"March 10, 2024",11:15 AM - 1:00 PM,207 (111183091-1212410002)
BSECO,ECO 2301/ECO 2304/ECO 2314,Intermediate Microeconomic Theory I/Intermediate Microeconomics/Intermediate Microeconomics I,A,TrAd,"March 10, 2024",1:45 PM - 3:30 PM,203 (121213004-1212320011)
BSECO,ECO 3331,Economics of Cost Benefit Analysis,A,WYn,"March 11, 2024",11:15 AM - 1:00 PM,208 (121152014-121222016)
BSECO,ECO 3361,Health Economics,A,MSS,"March 12, 2024",11:15 AM - 1:00 PM,203 (121152014-121222011)
BSECO,ECO 1303,Mathematics for Business and Economics I,A,TrAd,"March 13, 2024",11:15 AM - 1:00 PM,203 (1212310011-1212410020)
BSECO,ECO 2303,Mathematics for Business and Economics II,A,TrAd,"March 13, 2024",1:45 PM - 3:30 PM,203 (121221016-1212330039)
BSECO,ECO 3370/ECO 3372,Basic Econometrics/Econometrics I,A,WYn,"March 14, 2024",11:15 AM - 1:00 PM,209 (121191001-121222011)
BSECO,ECO 3326/ECO 3328,International Trade/International Trade and Finance,A,TJT,"March 16, 2024",1:45 PM - 3:30 PM,201 (121182002-1212410002)
BSECO,ECO 4375,History of Economic Thought,A,MOF,"March 18, 2024",11:15 AM - 1:00 PM,210 (121191001-121221020)
