Dept.,Course Code,Course Title,Section,Teacher,Exam Date,Exam Time,Room
BSCSE,CSE 425/CSE 4325,"Microprocessor, Microcontroller and Interfacing/Microprocessors and Microcontrollers",D,MSTR,"May 13, 2024",11:30 AM - 01:30 PM,803 (011173025-011203032)                                                                                                                                                                                                                       804 (011203048-011222315)
BSCSE,CSE 4325,Microprocessors and Microcontrollers,C,MSTR,"May 13, 2024",11:30 AM - 01:30 PM,328 (011183048-011212086)                                                                                                                                                                                                                       329 (011212091-011221170)
BSEEE,EEE 207/EEE 2103,Electronics II,A,RaBr,"May 13, 2024",11:30 AM - 01:30 PM,323 (021161098-0212310052)
BSEEE,EEE 207/EEE 2103,Electronics II,B,SdM,"May 13, 2024",11:30 AM - 01:30 PM,324 (021173038-0212230056)                                                                                                                                                                                                                       325 (0212230071-0212310076)
BSEEE,EEE 207/EEE 2103,Electronics II,C,SdM,"May 13, 2024",11:30 AM - 01:30 PM,903 (021193015-0212310033)
BSEEE,IPE 3401/IPE 401/IPE 4101,Industrial and Operational Management/Industrial Management/Industrial Production Engineering,D,GKR,"May 13, 2024",11:30 AM - 01:30 PM,803 (011183104-0112230288)                                                                                                                                                                                                                       804 (0112230378-021212014)
BSCSE,ACT 111/ACT 2111,Financial and Managerial Accounting,A,MdAHn,"May 13, 2024",02:00 PM - 04:00 PM,804 (011181018-011213035)                                                                                                                                                                                                                       805 (011221036-0112231040)
BSCSE,ACT 111/ACT 2111,Financial and Managerial Accounting,B,MdAHn,"May 13, 2024",02:00 PM - 04:00 PM,806 (011181167-011221084)                                                                                                                                                                                                                       903 (011221115-0112410545)
BSCSE,CSE 4893,Introduction to Bioinformatics,A,RtAm,"May 13, 2024",02:00 PM - 04:00 PM,804 (011191101-011221470)
BSEEE,EEE 203/EEE 2201,Energy Conversion I,A,HB,"May 13, 2024",02:00 PM - 04:00 PM,803 (021131142-021222025)
